Name,Genre,Price,Positive_Reviews,Negative_Reviews,Developer,Release_Date
Counter-Strike,Action,7.19,124534,3339,Valve,2000-11-01
Team Fortress Classic,Action,3.99,3318,633,Valve,1999-04-01
Day of Defeat,Action,3.99,3416,398,Valve,2003-05-01
Deathmatch Classic,Action,3.99,1273,267,Valve,2001-06-01
Half-Life: Opposing Force,Action,3.99,5250,288,Gearbox Software,1999-11-01
Ricochet,Action,3.99,2758,684,Valve,2000-11-01
Half-Life,Action,7.19,27755,1100,Valve,1998-11-08
Counter-Strike: Condition Zero,Action,7.19,12120,1439,Valve,2004-03-01
Half-Life: Blue Shift,Action,3.99,3822,420,Gearbox Software,2001-06-01
Half-Life 2,Action,7.19,67902,2419,Valve,2004-11-16
Counter-Strike: Source,Action,7.19,76640,3497,Valve,2004-11-01
Half-Life: Source,Action,0.0,3767,1053,Valve,2004-06-01
Day of Defeat: Source,Action,7.19,10489,1210,Valve,2010-07-12
Half-Life 2: Deathmatch,Action,3.99,6020,787,Valve,2004-11-01
Half-Life 2: Lost Coast,Action,0.0,5783,1020,Valve,2005-10-27
Half-Life Deathmatch: Source,Action,0.0,1362,473,Valve,2006-05-01
Half-Life 2: Episode One,Action,5.79,7908,517,Valve,2006-06-01
Portal,Action,7.19,51801,1080,Valve,2007-10-10
Half-Life 2: Episode Two,Action,5.79,13902,696,Valve,2007-10-10
Team Fortress 2,Action;Free to Play,0.0,515879,34036,Valve,2007-10-10
Left 4 Dead,Action,7.19,17951,948,Valve,2008-11-17
Left 4 Dead 2,Action,7.19,251789,8418,Valve,2009-11-19
Dota 2,Action;Free to Play;Strategy,0.0,863507,142079,Valve,2013-07-09
Portal 2,Action;Adventure,7.19,138220,1891,Valve,2011-04-18
Alien Swarm,Action,0.0,17435,941,Valve,2010-07-19
Counter-Strike: Global Offensive,Action;Free to Play,0.0,2644404,402313,Valve;Hidden Path Entertainment,2012-08-21
Rag Doll Kung Fu,Indie,5.99,40,17,Mark Healey,2005-10-12
Red Orchestra: Ostfront 41-45,Action,3.99,1562,223,Tripwire Interactive,2006-03-14
Killing Floor,Action,14.99,53710,2649,Tripwire Interactive,2009-05-14
SiN Episodes: Emergence,Action,7.19,468,61,Ritual Entertainment,2006-05-10
Darwinia,Indie;Strategy,7.19,472,158,Introversion Software,2005-07-14
Uplink,Indie;Strategy,6.99,1602,152,Introversion Software,2006-08-23
DEFCON,Indie;Strategy,7.19,2057,344,Introversion Software,2006-09-29
Multiwinia,Indie,7.19,368,75,Introversion Software,2008-09-19
Dangerous Waters,Strategy,22.99,140,44,Sonalysts,2006-02-07
Space Empires IV Deluxe,Strategy,6.99,112,26,Malfador Machinations,2006-02-07
Disciples II: Rise of the Elves ,Strategy,4.99,451,108,Strategy First,2006-07-06
Disciples II: Gallean's Return,Strategy,4.99,490,152,Strategy First,2006-07-06
Iron Warriors: T - 72 Tank Command ,Strategy,3.99,137,102,Strategy First,2006-07-26
Space Empires V,Strategy,10.99,191,85,Malfador Machinations,2006-10-16
Arx Fatalis,RPG,2.99,671,106,Arkane Studios,2007-04-03
Source Filmmaker,Animation & Modeling;Video Production,0.0,15083,1111,Valve,2012-07-10
Earth 2160,Strategy,3.99,498,238,Reality Pump Studios,2006-04-01
Two Worlds Epic Edition,RPG,6.99,2656,1055,Reality Pump Studios,2009-04-30
Dark Messiah of Might & Magic,Action;RPG,4.29,4386,316,Arkane Studios,2006-10-25
Quake III Arena,Action,12.99,1362,66,id Software,2007-08-03
Quake IV,Action,12.99,891,171,RavenSoft / id Software,2011-08-04
Wolfenstein 3D,Action,2.99,1773,87,id Software,2007-08-03
Ultimate Doom,Action,3.99,3705,257,id Software,2007-08-03
Final DOOM,Action,3.99,573,82,id Software,2007-08-03
DOOM II,Action,3.99,2517,182,id Software,2007-08-03
QUAKE,Action,3.99,2618,136,id Software,2007-08-03
QUAKE II,Action,3.99,1369,107,id Software,2007-08-03
QUAKE II Mission Pack: The Reckoning,Action,2.49,65,12,Xatrix Entertainment,2007-08-03
QUAKE II Mission Pack: Ground Zero,Action,2.49,54,33,Rogue Entertainment,2007-08-03
QUAKE III: Team Arena,Action,12.99,108,31,id Software,2007-08-03
HeXen: Beyond Heretic,Action,2.99,249,26,Raven Software,2007-08-03
HeXen: Deathkings of the Dark Citadel,Action,2.99,57,20,Raven Software,2007-08-03
Heretic: Shadow of the Serpent Riders,Action,2.99,417,29,Raven Software,2007-08-03
The Ship: Murder Party,Action;Indie;RPG,0.0,4819,792,Outerlight Ltd.,2006-07-11
Bloody Good Time,Action,4.29,662,204,Outerlight Ltd.,2010-10-29
Shadowgrounds,Action,3.99,973,248,Frozenbyte,2006-05-08
Gumboy - Crazy Adventures™,Casual;Indie,0.0,52,46,"CINEMAX, s.r.o.",2006-12-19
Alpha Prime,Action,2.99,610,523,Black Element,2007-11-07
Vampire: The Masquerade - Bloodlines,Action,14.99,6161,362,Troika Games,2007-03-22
GUN™,Action,9.99,740,87,Neversoft,2006-10-13
Call of Duty®,Action,14.99,1555,117,Infinity Ward,2006-10-13
Call of Duty® 2,Action,14.99,2434,236,Infinity Ward;Aspyr (Mac),2006-10-13
Call of Duty: United Offensive,Action,14.99,490,97,Gray Matter Studios,2006-10-13
Act of War: Direct Action,Action,1.99,180,33,Eugen Systems,2008-03-12
ThreadSpace: Hyperbol,Action;Indie;Strategy,3.99,31,9,Iocaine Studios,2007-07-12
ARMA: Combat Operations,Action,5.99,145,77,Bohemia Interactive,2008-03-12
X2: The Threat,Strategy,4.99,212,50,Egosoft,2006-07-21
X3: Reunion,Strategy,9.99,282,113,Egosoft,2006-07-21
X3: Terran Conflict,Action;Simulation;Strategy,15.99,1633,272,Egosoft,2008-10-16
X: Beyond the Frontier,Simulation;Strategy,3.49,142,48,Egosoft,2010-10-08
X: Tension,Simulation;Strategy,3.49,57,18,Egosoft,2010-10-08
X Rebirth,Action;Simulation,24.99,2832,4032,Egosoft,2013-11-15
688(I) Hunter/Killer,Strategy,22.99,52,17,Sonalysts,2006-10-26
Fleet Command,Strategy,22.99,127,31,Sonalysts,2006-10-26
Sub Command,Strategy,22.99,33,14,Sonalysts,2006-10-26
FlatOut 2™,Racing,5.99,5438,343,Bugbear Entertainment,2006-12-21
Xpand Rally,Racing,3.99,139,39,Techland,2006-08-24
Call of Juarez™,Action,8.59,793,198,Techland,2007-11-08
Xpand Rally Xtreme,Racing,3.99,71,36,Techland,2008-10-08
Men of War: Red Tide,Strategy,3.99,294,69,1C Entertainment,2009-11-01
King's Bounty: Armored Princess,RPG;Strategy,7.99,482,53,Katauri Interactive,2009-11-19
Genesis Rising,Strategy,4.49,30,94,Metamorf,2007-08-06
Safecracker: The Ultimate Puzzle Adventure,Adventure;Casual,4.49,256,172,Kheops Studio,2007-08-29
Painkiller Overdose,Action,4.49,429,137,Mindware Studios,2007-10-30
Zuma Deluxe,Casual,4.25,437,37,"PopCap Games, Inc.",2006-08-30
Heavy Weapon Deluxe,Casual,4.25,71,28,"PopCap Games, Inc.",2006-08-30
